code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
3324,AURAS,165,"14,098.86","88,394,092",105,34,1137,141,13,,3,8
2227,YNM,163,"76,200","300,000,000",111,42,1123,97,29,4,15,18
4979,LuxNet,162,"2,335.98","132,726,279",80,64,1132,121,25,3,10,3
1504,TECO,161,"64,484.70","2,138,796,616",117,25,1134,129,13,,2,17
3019,ASIA,159,"24,875.85","281,083,901",86,51,1139,133,14,1,5,6
1760,-,158,-,-,64,81,1131,131,18,1,4,4
6244,MOTECH,158,"11,396.84","355,041,875",78,64,1134,145,6,,3,4
3441,UNIQUE,157,"1,669.66","40,039,920",42,114,1120,109,37,1,7,3
1536,HOTA,156,"26,190.74","279,517,513",95,38,1143,103,27,2,9,15
1319,OTN,155,"19,991.92","591,477,068",101,41,1134,81,38,3,11,22
2031,Hkssteel,154,"18,690.70","321,146,341",50,94,1132,130,13,1,4,6
3006,ESMT,149,"40,776.38","286,156,953",62,80,1134,119,21,,2,7
2615,WANHAI,148,"390,420.32","2,440,127,212",92,46,1138,91,21,5,13,18
6180,GAMANIA,148,"10,125.98","175,493,573",90,38,1148,126,5,1,7,9
1314,CPDC,146,"39,746.69","3,284,850,130",91,43,1142,130,5,1,2,8
2707,GFRT,146,"18,919.05","127,403,238",111,25,1140,65,52,1,17,11
3085,NEWRETAIL,146,528.424347,"48,038,577",118,15,1142,110,18,1,7,10
2636,T3EX,145,"18,673.01","144,752,230",92,41,1142,90,28,,12,15
2354,FTC,145,"97,316.57","1,414,485,192",77,49,1150,110,14,1,10,10
2345,ACCTON,145,"136,320.55","559,838,397",95,39,1142,125,7,2,2,9
2204,CMC,143,"38,365.87","553,620,342",104,35,1137,79,34,2,12,16
2731,Liontravel,142,"6,445.43","73,662,764",96,37,1143,78,22,4,17,21
3545,FocalTech,141,"34,654.72","216,592,142",82,43,1151,115,9,,7,10
2809,KTB,141,"46,531.21","1,121,234,265",65,69,1142,99,20,2,7,13
2542,Highwealth,141,"58,028.79","1,307,931,580",85,45,1146,120,8,,6,7
9921,GIANT,139,"120,958.14","375,064,626",96,29,1151,121,7,2,4,5
