code,Name,News_size,Market_cap,Shares_outstanding,Positive,Negitive,None
2204,CMC,143,"38,365.866","553,620,342",104,35,1137
2731,Liontravel,142,"6,445.425","73,662,764",96,37,1143
3545,FocalTech,141,"34,654.72","216,592,142",82,43,1151
2809,KTB,141,"46,531.211","1,121,234,265",65,69,1142
2542,Highwealth,141,"58,028.78685","1,307,931,580",85,45,1146
9921,GIANT,139,"120,958.14","375,064,626",96,29,1151
9914,MIC,138,"86,406.087","298,983,800",83,46,1147
5371,Coretronic,138,"22,442.315714","390,981,110",88,43,1145
6443,TSEC,137,"14,845.0068","445,796,730",86,36,1154
3059,Altek,136,"10,502.2064","279,314,525",53,79,1144
2458,ELAN,136,"50,747.96","303,880,392",91,31,1154
2823,CHINA LIFE,136,"142,698.937","4,731,397,242",106,29,1141
3189,KINSUS,135,"110,005.936","450,844,060",74,53,1149
8039,TAIFLEX,134,"9,964.52035","209,119,692",79,38,1159
2729,TTFB,133,"5,362.96974","23,266,680",102,12,1162
5608,S. W.,133,"13,434.0936","279,267,090",47,80,1149
6213,ITEQ,132,"49,209.9745","382,957,218",78,27,1171
9940,Sinyi,132,"24,536.9718","736,846,500",96,25,1155
2903,FEDS,131,"31,314.374","1,416,940,589",102,17,1157
6230,NCCI,130,"14,419.281","86,343,396",96,17,1163
6669,Wiwynn,129,"155,432.76","174,840,791",79,32,770
2614,EMIC,129,"16,794.1625","528,950,395",100,18,1158
5274,ASPEED,129,"95,213.31249","34,373,037",83,35,1158
4133,Abnova,128,"2,222.2951","60,553,594",38,86,1152
5609,DIMERCO,128,"11,716.488","136,080,000",88,25,1163
2355,CHIN-POON,128,"11,885.1005","397,495,420",53,34,1189
2723,Gourmet,128,"23,580","180,000,000",75,30,1171
6446,PEC,127,"25,619.377345","263,539,341",77,41,1158
2732,La Kaffa,127,"4,421.713746","43,470,127",98,11,1167
4721,MECHEMA,127,"12,785.164832","74,986,304",63,57,1156
3443,GUC,126,"80,138.578","134,011,911",82,34,1160
9919,KNH,126,"4,307.7321","195,362,750",43,77,1156
